"","catalogNumber","coordinates","plotType","longitude","latitude"
"308","AUGIEENTB0000266","41.435905-90.501557","LP-GF","41.435905","90.501557"
"309","NO SCAN SQUISHED","41.435905-90.501557","LP-GF","41.435905","90.501557"
"310","AUGIEENTB0000267","41.435905-90.501557","LP-GF","41.435905","90.501557"
"311","AUGIEENTB0000268","41.435905-90.501557","LP-GF","41.435905","90.501557"
"312","AUGIEENTB0000281","41.435905-90.501557","LP-GF","41.435905","90.501557"
"313","AUGIEENTB0000282","41.435905-90.501557","LP-GF","41.435905","90.501557"
"314","AUGIEENTB0000283","41.435905-90.501557","LP-GF","41.435905","90.501557"
"315","AUGIEENTB0000284","41.435905-90.501557","LP-GF","41.435905","90.501557"
"316","AUGIEENTB0000235","41.435905-90.501557","LP-GF","41.435905","90.501557"
"317","AUGIEENTB0000315","41.47252-90.473754","LP-GF","41.47252","90.473754"
"318","AUGIEENTB0000316","41.47252-90.473754","LP-GF","41.47252","90.473754"
"319","AUGIEENTB0000290","41.50368-90.62248","LP-GM","41.50368","90.62248"
"320","AUGIEENTB0000291","41.50368-90.62248","LP-GM","41.50368","90.62248"
"321","NO SCAN SQUISHED","41.50368-90.62248","LP-GM","41.50368","90.62248"
"322","NO SCAN SQUISHED","41.50368-90.62248","LP-GM","41.50368","90.62248"
"323","AUGIEENTB0000253","41.57974-90.48991","LP-GM","41.57974","90.48991"
"324","AUGIEENTB0000277","41.56304-90.46707","LP-GU","41.56304","90.46707"
"325","AUGIEENTB0000278","41.56304-90.46707","LP-GU","41.56304","90.46707"
"326","AUGIEENTB0000279","41.56304-90.46707","LP-GU","41.56304","90.46707"
"327","AUGIEENTB0000280","41.56304-90.46707","LP-GU","41.56304","90.46707"
"328","AUGIEENTB0000293","41.56304-90.46707","LP-GU","41.56304","90.46707"
"329","AUGIEENTB0000294","41.56304-90.46707","LP-GU","41.56304","90.46707"
"330","AUGIEENTB0000295","41.56304-90.46707","LP-GU","41.56304","90.46707"
"331","AUGIEENTB0000292","41.537828-90.645823","LP-GU","41.537828","90.645823"
"332","AUGIEENTB0000296","41.537828-90.645823","LP-GU","41.537828","90.645823"
"333","AUGIEENTB0000297","41.537828-90.645823","LP-GU","41.537828","90.645823"
"334","AUGIEENTB0000298","41.537828-90.645823","LP-GU","41.537828","90.645823"
"335","AUGIEENTB0000299","41.537828-90.645823","LP-GU","41.537828","90.645823"
"336","AUGIEENTB0000300","41.537828-90.645823","LP-GU","41.537828","90.645823"
"337","AUGIEENTB0000301","41.537828-90.645823","LP-GU","41.537828","90.645823"
"338","NO SCAN SQUISHED","41.537828-90.645823","LP-GU","41.537828","90.645823"
"339","AUGIEENTB0000303","41.537828-90.645823","LP-GU","41.537828","90.645823"
"340","AUGIEENTB0000302","41.537828-90.645823","LP-GU","41.537828","90.645823"
"341","AUGIEENTB0000304","41.537828-90.645823","LP-GU","41.537828","90.645823"
"342","AUGIEENTB0000305","41.537828-90.645823","LP-GU","41.537828","90.645823"
"343","AUGIEENTB0000240","41.56812-41.56812","LP-GU","41.56812","41.56812"
"344","AUGIEENTB0000344","41.531584-90.414653","LP-GU","41.531584","90.414653"
"345","AUGIEENTB0000345","41.531584-90.414653","LP-GU","41.531584","90.414653"
"346","AUGIEENTB0000346","41.531584-90.414653","LP-GU","41.531584","90.414653"
"347","AUGIEENTB0000347","41.531584-90.414653","LP-GU","41.531584","90.414653"
"348","AUGIEENTB0000348","41.531584-90.414653","LP-GU","41.531584","90.414653"
"349","AUGIEENTB0000349","41.531584-90.414653","LP-GU","41.531584","90.414653"
"350","AUGIEENTB0000350","41.531584-90.414653","LP-GU","41.531584","90.414653"
"351","AUGIEENTB0000241","41.5677-90.52301","LP-IC","41.5677","90.52301"
"352","AUGIEENTB0000242","41.5677-90.52301","LP-IC","41.5677","90.52301"
"353","AUGIEENTB0000243","41.5677-90.52301","LP-IC","41.5677","90.52301"
